protein_id	is_circrna	log2FC	P.Value	adj.P.Val	method	peptide_count
A0A0M3U1B0	False	3.15964759344616	0.0027148184082525	0.0062383061296014	limma	6
A0A1D9BZF0	False	3.60099881012411	0.0005014971369731	0.0021448724150466	limma	3
A0A7N9VSG0	False	-0.87945238782693	0.0004069837986123	0.0019110543587015	limma	3
A1A5B6	False	3.1403684189792	0.0018138788432011	0.004897472876643	limma	3
A1L3P4	False	5.2490470433097	0.0005538407025132	0.0022153628100531	limma	5
A2A432-2	False	-0.215769874880696	0.154110726032772	0.195811275429875	limma	23
A2A5N3	False	-1.28402260598516	0.0010357294577476	0.0032899641599041	limma	22
A2A8L5	False	0.276995567623979	0.140037356496199	0.184439445141335	limma	2
A2A8Z1	False	0.701947931068908	0.0004820512813127	0.0021448724150466	limma	1
A2A995	False	-1.00564705760756	0.0179312981359143	0.0289041820698321	limma	1
A2A9R3	False	0.259436325351052	0.156198972688235	0.196156849422435	limma	26
A2ADA5	False	-0.279494470801274	0.769835736383243	0.807206403197964	limma	1
A2ADY9	False	-0.644076405594318	0.0044493052489519	0.0094220581742511	limma	5
A2AG50	False	4.77307672753064	0.0018862351656637	0.0049686194607728	limma	9
A2AGT5-3	False	-0.316991682038178	0.146236135587257	0.190283164378599	limma	9
A2AI08	False	-1.10675955841198	0.0001119062077843	0.0013428744934119	limma	1
A2AJI0-2	False	-0.122427942226069	0.650251770724469	0.702271912382427	limma	1
A2AKG8	False	-0.296061098591772	0.12004818265167	0.160064243535561	limma	3
A2AKX3-2	False	0.05242550098008	0.830253112665057	0.853974630169773	limma	1
A2ALU4	False	1.02193458660465	0.0088728864221047	0.0164892867061903	limma	8
A2AMZ4	False	0.831356116799499	0.0082210610226421	0.0155767472007956	limma	1
A2AN08-3	False	-0.273548756801936	0.0484564754637729	0.069777324667833	limma	52
A2AQ25-3	False	-0.99524959174805	0.051562765053496	0.0732734029707575	limma	1
A2AR02	False	3.81305224397158	0.0001481529801114	0.0013502944800313	limma	3
A2ARM1	False	-7.07869994411115	5.61736408851334e-06	0.0006066753215594	limma	11
A2ASS6	False	1.53886212882738	0.0448137041735086	0.065403784469445	limma	3
A2AT37	False	1.0517401893779	0.0069855851209976	0.0137171489648682	limma	6
A2ATU0	False	3.87329398127131	0.0005163581739927	0.0021448724150466	limma	6
A2AWA9	False	1.41755309836702	0.000763008403025	0.002658222823442	limma	12
A2BDX3	False	0.920486965388475	0.0167209670372002	0.0273615824245095	limma	3
A2BE28-2	False	3.20439861245753	0.0021183976453886	0.0051386332575048	limma	3
A2BH40	False	4.15051866899385	0.001122649790358	0.003401161605744	limma	10
A2RTL5	False	2.63776156483627	0.0003381444692632	0.0017390286990683	limma	3
A3KMP2	False	-1.17576037559495	0.181434709901129	0.222669871242295	limma	3
A6H5Y3	False	1.17535612867255	0.172015735390744	0.21353677496782	limma	10
A6H630	False	2.78093616781901	0.0153444067644821	0.0258936864150636	limma	3
A6PWY4-2	False	3.21220928342795	0.000311355960599	0.0017390286990683	limma	3
A8C756	False	3.4814599209114	0.0002038163841276	0.0015490561903436	limma	3
B1ARW8	False	1.66828997168345	0.0314822465370024	0.0478884876900881	limma	3
B1AVY7	False	0.0610068598746466	0.934623622295591	0.943334064262339	limma	3
B1AY13	False	1.57531883496807	0.002713487071083	0.0062383061296014	limma	3
B1AZA5	False	0.407530548684443	0.0604171701896705	0.084740965980317	limma	3
B1AZP2-3	False	-1.47745093574981	7.88485827582604e-05	0.0012910968693856	limma	3
B1B0V2	False	-1.91914925085353	0.0011652127723382	0.003401161605744	limma	1
B2RQC6	False	2.32693253651009	0.0001625354466704	0.0013502944800313	limma	45
B2RR83	False	3.24870007714062	0.0047740670278271	0.0099153699808717	limma	4
B2RRE7	False	2.24451421937483	0.0037617787030082	0.0082912673454059	limma	2
B2RWS6	False	1.56549505224984	0.0020760140183984	0.0051386332575048	limma	1
B2RXC1	False	0.040710363583409	0.820557956940876	0.852117878361679	limma	3
B2RXR6	False	-2.13598061279328	6.25340468175577e-05	0.0012910968693856	limma	2
B2RXS4	False	-1.23554045034769	0.0143219038095223	0.0245518351020382	limma	4
B2RY56	False	0.337154927928861	0.235650474308443	0.282780569170131	limma	6
B8JKV0	False	-3.1523324316558	0.0040353073280277	0.00871626382854	limma	5
B8ZXI1	False	2.10681472400793	0.0020415921566249	0.0051386332575048	limma	2
B9EJ86	False	-2.55812384518123	0.0097760706102091	0.0175969270983764	limma	3
B9EKI3	False	-0.153354089701982	0.681860667169796	0.728131715245547	limma	1
C0HKD8	False	1.45282507159893	0.0014992985622764	0.0041519037109192	limma	2
C0HKE1	False	3.68781106408966	8.66894730835023e-05	0.0012910968693856	limma	4
C0HKG5	False	2.36546666238017	0.0006550879491248	0.0024396378794995	limma	3
