term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Regulation Of Chromosome Separation (GO:1905818)	Regulation Of Chromosome Separation (GO:1905818)	2	2/12	0.16666666666666666	12	1.809549125289741e-05	0.0023343183716237	NUMA1;TPR
Regulation Of Spindle Assembly (GO:0090169)	Regulation Of Spindle Assembly (GO:0090169)	2	2/29	0.06896551724137931	29	0.0001107501888077093	0.0064992810898318	NUMA1;TPR
Positive Regulation Of Intracellular Transport (GO:0032388)	Positive Regulation Of Intracellular Transport (GO:0032388)	2	2/39	0.05128205128205128	39	0.000201528095808739	0.0064992810898318	NUMA1;TPR
Regulation Of Mitotic Spindle Organization (GO:0060236)	Regulation Of Mitotic Spindle Organization (GO:0060236)	2	2/39	0.05128205128205128	39	0.000201528095808739	0.0064992810898318	NUMA1;TPR
Nucleus Organization (GO:0006997)	Nucleus Organization (GO:0006997)	2	2/44	0.045454545454545456	44	0.0002568962468343873	0.0066279231683271	NUMA1;TPR
Positive Regulation Of Cell Cycle Process (GO:0090068)	Positive Regulation Of Cell Cycle Process (GO:0090068)	2	2/118	0.01694915254237288	118	0.0018334402039742	0.0328420186975782	NUMA1;TPR
Regulation Of mRNA Export From Nucleus (GO:0010793)	Regulation Of mRNA Export From Nucleus (GO:0010793)	1	1/5	0.2	5	0.0027472053583369	0.0328420186975782	TPR
Regulation Of Ribonucleoprotein Complex Localization (GO:2000197)	Regulation Of Ribonucleoprotein Complex Localization (GO:2000197)	1	1/5	0.2	5	0.0027472053583369	0.0328420186975782	TPR
Positive Regulation Of Spindle Assembly (GO:1905832)	Positive Regulation Of Spindle Assembly (GO:1905832)	1	1/6	0.16666666666666666	6	0.0032958256764104	0.0328420186975782	NUMA1
Auditory Receptor Cell Morphogenesis (GO:0002093)	Auditory Receptor Cell Morphogenesis (GO:0002093)	1	1/6	0.16666666666666666	6	0.0032958256764104	0.0328420186975782	TPRN
Auditory Receptor Cell Stereocilium Organization (GO:0060088)	Auditory Receptor Cell Stereocilium Organization (GO:0060088)	1	1/6	0.16666666666666666	6	0.0032958256764104	0.0328420186975782	TPRN
Regulation Of Protein Localization To Cell Cortex (GO:1904776)	Regulation Of Protein Localization To Cell Cortex (GO:1904776)	1	1/7	0.14285714285714285	7	0.0038441720045859	0.0328420186975782	NUMA1
Cellular Response To Interferon-Alpha (GO:0035457)	Cellular Response To Interferon-Alpha (GO:0035457)	1	1/7	0.14285714285714285	7	0.0038441720045859	0.0328420186975782	TPR
Regulation Of Heterochromatin Formation (GO:0031445)	Regulation Of Heterochromatin Formation (GO:0031445)	1	1/7	0.14285714285714285	7	0.0038441720045859	0.0328420186975782	TPR
Astral Microtubule Organization (GO:0030953)	Astral Microtubule Organization (GO:0030953)	1	1/8	0.125	8	0.004392244396163	0.0328420186975782	NUMA1
Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962)	Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962)	1	1/9	0.1111111111111111	9	0.004940042922945	0.0328420186975782	DLGAP4
Regulation Of Mitotic Sister Chromatid Separation (GO:0010965)	Regulation Of Mitotic Sister Chromatid Separation (GO:0010965)	1	1/10	0.1	10	0.0054875676690229	0.0328420186975782	TPR
Nuclear Pore Complex Assembly (GO:0051292)	Nuclear Pore Complex Assembly (GO:0051292)	1	1/10	0.1	10	0.0054875676690229	0.0328420186975782	TPR
Regulation Of RNA Export From Nucleus (GO:0046831)	Regulation Of RNA Export From Nucleus (GO:0046831)	1	1/11	0.09090909090909091	11	0.0060348187277604	0.0328420186975782	TPR
Inner Ear Receptor Cell Stereocilium Organization (GO:0060122)	Inner Ear Receptor Cell Stereocilium Organization (GO:0060122)	1	1/11	0.09090909090909091	11	0.0060348187277604	0.0328420186975782	TPRN
Positive Regulation Of Spindle Checkpoint (GO:0090232)	Positive Regulation Of Spindle Checkpoint (GO:0090232)	1	1/11	0.09090909090909091	11	0.0060348187277604	0.0328420186975782	TPR
Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)	Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)	1	1/11	0.09090909090909091	11	0.0060348187277604	0.0328420186975782	TPR
Positive Regulation Of Protein Export From Nucleus (GO:0046827)	Positive Regulation Of Protein Export From Nucleus (GO:0046827)	1	1/12	0.08333333333333333	12	0.0065817961978748	0.0328420186975782	TPR
Cellular Component Maintenance (GO:0043954)	Cellular Component Maintenance (GO:0043954)	1	1/12	0.08333333333333333	12	0.0065817961978748	0.0328420186975782	TPRN
Positive Regulation Of Heterochromatin Formation (GO:0031453)	Positive Regulation Of Heterochromatin Formation (GO:0031453)	1	1/13	0.07692307692307693	13	0.00712850018242	0.0328420186975782	TPR
Positive Regulation Of Keratinocyte Differentiation (GO:0045618)	Positive Regulation Of Keratinocyte Differentiation (GO:0045618)	1	1/13	0.07692307692307693	13	0.00712850018242	0.0328420186975782	NUMA1
Negative Regulation Of Translational Initiation (GO:0045947)	Negative Regulation Of Translational Initiation (GO:0045947)	1	1/13	0.07692307692307693	13	0.00712850018242	0.0328420186975782	TPR
Positive Regulation Of Chromosome Separation (GO:1905820)	Positive Regulation Of Chromosome Separation (GO:1905820)	1	1/13	0.07692307692307693	13	0.00712850018242	0.0328420186975782	NUMA1
Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823)	Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823)	1	1/14	0.07142857142857142	14	0.0076749307875411	0.0330022023864269	TPR
Nuclear Pore Organization (GO:0006999)	Nuclear Pore Organization (GO:0006999)	1	1/14	0.07142857142857142	14	0.0076749307875411	0.0330022023864269	TPR
Regulation Of Nucleocytoplasmic Transport (GO:0046822)	Regulation Of Nucleocytoplasmic Transport (GO:0046822)	1	1/16	0.0625	16	0.0087669723009575	0.0343695105646304	TPR
Response To Interferon-Alpha (GO:0035455)	Response To Interferon-Alpha (GO:0035455)	1	1/17	0.058823529411764705	17	0.0093125834341288	0.0343695105646304	TPR
Androgen Receptor Signaling Pathway (GO:0030521)	Androgen Receptor Signaling Pathway (GO:0030521)	1	1/17	0.058823529411764705	17	0.0093125834341288	0.0343695105646304	TMF1
Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)	1	1/17	0.058823529411764705	17	0.0093125834341288	0.0343695105646304	TPR
Positive Regulation Of Chromosome Segregation (GO:0051984)	Positive Regulation Of Chromosome Segregation (GO:0051984)	1	1/18	0.05555555555555555	18	0.0098579216348164	0.0343695105646304	NUMA1
Regulation Of Nervous System Process (GO:0031644)	Regulation Of Nervous System Process (GO:0031644)	1	1/18	0.05555555555555555	18	0.0098579216348164	0.0343695105646304	DLGAP4
Positive Regulation Of Epidermal Cell Differentiation (GO:0045606)	Positive Regulation Of Epidermal Cell Differentiation (GO:0045606)	1	1/18	0.05555555555555555	18	0.0098579216348164	0.0343695105646304	NUMA1
Pore Complex Assembly (GO:0046931)	Pore Complex Assembly (GO:0046931)	1	1/19	0.05263157894736842	19	0.0104029870187894	0.0353065895417105	TPR
Regulation Of Mitotic Spindle Assembly (GO:1901673)	Regulation Of Mitotic Spindle Assembly (GO:1901673)	1	1/20	0.05	20	0.0109477797028559	0.0353065895417105	TPR
Regulation Of Spindle Organization (GO:0090224)	Regulation Of Spindle Organization (GO:0090224)	1	1/20	0.05	20	0.0109477797028559	0.0353065895417105	NUMA1
Regulation Of Protein Export From Nucleus (GO:0046825)	Regulation Of Protein Export From Nucleus (GO:0046825)	1	1/22	0.045454545454545456	22	0.0120365474388125	0.0366639044465392	TPR
Modulation By Host Of Viral Process (GO:0044788)	Modulation By Host Of Viral Process (GO:0044788)	1	1/22	0.045454545454545456	22	0.0120365474388125	0.0366639044465392	PI4KA
Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050)	Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050)	1	1/24	0.041666666666666664	24	0.0131242257813257	0.0366639044465392	TMF1
Positive Regulation Of BMP Signaling Pathway (GO:0030513)	Positive Regulation Of BMP Signaling Pathway (GO:0030513)	1	1/24	0.041666666666666664	24	0.0131242257813257	0.0366639044465392	NUMA1
Regulation Of Keratinocyte Differentiation (GO:0045616)	Regulation Of Keratinocyte Differentiation (GO:0045616)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	NUMA1
Spindle Assembly Checkpoint Signaling (GO:0071173)	Spindle Assembly Checkpoint Signaling (GO:0071173)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	TPR
Protein Export From Nucleus (GO:0006611)	Protein Export From Nucleus (GO:0006611)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	TPR
Positive Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031112)	Positive Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031112)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	NUMA1
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	TPR
Mitotic Spindle Checkpoint Signaling (GO:0071174)	Mitotic Spindle Checkpoint Signaling (GO:0071174)	1	1/26	0.038461538461538464	26	0.0142108156769532	0.0366639044465392	TPR
Regulation Of Chromosome Segregation (GO:0051983)	Regulation Of Chromosome Segregation (GO:0051983)	1	1/28	0.03571428571428571	28	0.0152963180805092	0.0371488612462935	NUMA1
Positive Regulation Of Protein Import Into Nucleus (GO:0042307)	Positive Regulation Of Protein Import Into Nucleus (GO:0042307)	1	1/28	0.03571428571428571	28	0.0152963180805092	0.0371488612462935	TPR
Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	1	1/28	0.03571428571428571	28	0.0152963180805092	0.0371488612462935	TPR
