term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Mitotic Spindle (GO:0072686)	Mitotic Spindle (GO:0072686)	2	2/143	0.013986013986013986	143	0.0026764943724873	0.0326021594954184	NUMA1;TPR
Astral Microtubule (GO:0000235)	Astral Microtubule (GO:0000235)	1	1/6	0.16666666666666666	6	0.0032958256764104	0.0326021594954184	NUMA1
Nuclear Inclusion Body (GO:0042405)	Nuclear Inclusion Body (GO:0042405)	1	1/10	0.1	10	0.0054875676690229	0.0326021594954184	TPR
Spindle (GO:0005819)	Spindle (GO:0005819)	2	2/210	0.009523809523809525	210	0.0056699407818119	0.0326021594954184	NUMA1;TPR
Cytoplasmic Dynein Complex (GO:0005868)	Cytoplasmic Dynein Complex (GO:0005868)	1	1/21	0.047619047619047616	21	0.0114922998030339	0.0475802447139767	TPR
Golgi-associated Vesicle Membrane (GO:0030660)	Golgi-associated Vesicle Membrane (GO:0030660)	1	1/23	0.043478260869565216	23	0.0125805227255512	0.0475802447139767	PI4KA
Microtubule Cytoskeleton (GO:0015630)	Microtubule Cytoskeleton (GO:0015630)	2	2/342	0.005847953216374269	342	0.0144809440433842	0.0475802447139767	NUMA1;MAP7D2
Golgi-associated Vesicle (GO:0005798)	Golgi-associated Vesicle (GO:0005798)	1	1/47	0.02127659574468085	47	0.0255545358769434	0.0734692906462125	PI4KA
Spindle Microtubule (GO:0005876)	Spindle Microtubule (GO:0005876)	1	1/68	0.014705882352941176	68	0.0367794749552908	0.0939919915524098	NUMA1
Glutamatergic Synapse (GO:0098978)	Glutamatergic Synapse (GO:0098978)	1	1/78	0.01282051282051282	78	0.0420832593305425	0.0967914964602478	DLGAP4
Mitochondrial Outer Membrane (GO:0005741)	Mitochondrial Outer Membrane (GO:0005741)	1	1/151	0.006622516556291391	151	0.0800037743240655	0.1672806190412278	QTRT2
Organelle Outer Membrane (GO:0031968)	Organelle Outer Membrane (GO:0031968)	1	1/170	0.0058823529411764705	170	0.0896470423587413	0.1718234978542541	QTRT2
Microtubule (GO:0005874)	Microtubule (GO:0005874)	1	1/185	0.005405405405405406	185	0.0971951394474481	0.1719606313301006	NUMA1
Nuclear Membrane (GO:0031965)	Nuclear Membrane (GO:0031965)	1	1/227	0.004405286343612335	227	0.1180281380131811	0.1939033695930833	TPR
Focal Adhesion (GO:0005925)	Focal Adhesion (GO:0005925)	1	1/387	0.002583979328165375	387	0.193450533801793	0.2666145371792627	PI4KA
Cytoplasmic Vesicle Membrane (GO:0030659)	Cytoplasmic Vesicle Membrane (GO:0030659)	1	1/389	0.002570694087403599	389	0.1943550124655303	0.2666145371792627	PI4KA
Cell-Substrate Junction (GO:0030055)	Cell-Substrate Junction (GO:0030055)	1	1/395	0.002531645569620253	395	0.1970629187846724	0.2666145371792627	PI4KA
Mitochondrial Membrane (GO:0031966)	Mitochondrial Membrane (GO:0031966)	1	1/540	0.001851851851851852	540	0.2600397947390122	0.3322730710554044	QTRT2
Cytoskeleton (GO:0005856)	Cytoskeleton (GO:0005856)	1	1/599	0.001669449081803005	599	0.2843532100690787	0.3442170437678321	MAP7D2
Bounding Membrane Of Organelle (GO:0098588)	Bounding Membrane Of Organelle (GO:0098588)	1	1/819	0.001221001221001221	819	0.3687475018656824	0.4240596271455348	PI4KA
Nucleus (GO:0005634)	Nucleus (GO:0005634)	3	3/4487	0.0006685981724983285	4487	0.4630294672025062	0.5071275116979831	NUMA1;TPR;IRF2BP2
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	1	1/1195	0.0008368200836820083	1195	0.4923067481895023	0.5146843276526615	NUMA1
Intracellular Membrane-Bounded Organelle (GO:0043231)	Intracellular Membrane-Bounded Organelle (GO:0043231)	3	3/5175	0.0005797101449275362	5175	0.57161404801433	0.57161404801433	NUMA1;TPR;IRF2BP2
