term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Microtubule Minus-End Binding (GO:0051011)	Microtubule Minus-End Binding (GO:0051011)	1	1/12	0.08333333333333333	12	0.0065817961978748	0.0390504477835853	NUMA1
Phosphatidylinositol Kinase Activity (GO:0052742)	Phosphatidylinositol Kinase Activity (GO:0052742)	1	1/16	0.0625	16	0.0087669723009575	0.0390504477835853	PI4KA
Microtubule Plus-End Binding (GO:0051010)	Microtubule Plus-End Binding (GO:0051010)	1	1/19	0.05263157894736842	19	0.0104029870187894	0.0390504477835853	NUMA1
Mitogen-Activated Protein Kinase Binding (GO:0051019)	Mitogen-Activated Protein Kinase Binding (GO:0051019)	1	1/23	0.043478260869565216	23	0.0125805227255512	0.0390504477835853	TPR
Disordered Domain Specific Binding (GO:0097718)	Disordered Domain Specific Binding (GO:0097718)	1	1/23	0.043478260869565216	23	0.0125805227255512	0.0390504477835853	NUMA1
Tubulin Binding (GO:0015631)	Tubulin Binding (GO:0015631)	2	2/322	0.006211180124223602	322	0.0129116766301691	0.0390504477835853	NUMA1;TPR
Nuclear Androgen Receptor Binding (GO:0050681)	Nuclear Androgen Receptor Binding (GO:0050681)	1	1/25	0.04	25	0.0136676567242548	0.0390504477835853	TMF1
Pentosyltransferase Activity (GO:0016763)	Pentosyltransferase Activity (GO:0016763)	1	1/39	0.02564102564102564	39	0.0212471852336025	0.0472159671857834	QTRT2
Catalytic Activity, Acting On A tRNA (GO:0140101)	Catalytic Activity, Acting On A tRNA (GO:0140101)	1	1/39	0.02564102564102564	39	0.0212471852336025	0.0472159671857834	QTRT2
Nuclear Receptor Coactivator Activity (GO:0030374)	Nuclear Receptor Coactivator Activity (GO:0030374)	1	1/50	0.02	50	0.0271653448579923	0.0543306897159847	TMF1
Protein Homodimerization Activity (GO:0042803)	Protein Homodimerization Activity (GO:0042803)	2	2/662	0.0030211480362537764	662	0.0493637997348399	0.0873737380188642	QTRT2;TPR
Kinase Activity (GO:0016301)	Kinase Activity (GO:0016301)	1	1/106	0.009433962264150943	106	0.0567929297122617	0.0873737380188642	PI4KA
Phosphatidylinositol Binding (GO:0035091)	Phosphatidylinositol Binding (GO:0035091)	1	1/106	0.009433962264150943	106	0.0567929297122617	0.0873737380188642	NUMA1
Nuclear Receptor Binding (GO:0016922)	Nuclear Receptor Binding (GO:0016922)	1	1/115	0.008695652173913044	115	0.0614772434102234	0.0878246334431763	TMF1
Protein Heterodimerization Activity (GO:0046982)	Protein Heterodimerization Activity (GO:0046982)	1	1/190	0.005263157894736842	190	0.0996984999291612	0.1329313332388816	QTRT2
Microtubule Binding (GO:0008017)	Microtubule Binding (GO:0008017)	1	1/239	0.0041841004184100415	239	0.1238996169989025	0.1548745212486282	NUMA1
mRNA Binding (GO:0003729)	mRNA Binding (GO:0003729)	1	1/282	0.0035460992907801418	282	0.1446484755374902	0.1701746771029297	TPR
Cadherin Binding (GO:0045296)	Cadherin Binding (GO:0045296)	1	1/319	0.003134796238244514	319	0.1621434716676989	0.1801594129641099	PI4KA
Protein Kinase Binding (GO:0019901)	Protein Kinase Binding (GO:0019901)	1	1/511	0.0019569471624266144	511	0.2478159883276956	0.2608589350817848	TPR
RNA Binding (GO:0003723)	RNA Binding (GO:0003723)	1	1/1411	0.0007087172218284905	1411	0.5529085788980724	0.5529085788980724	TPR
