term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Regulation Of Translation (GO:0006417)	Regulation Of Translation (GO:0006417)	5	5/202	0.024752475247524754	202	0.00019361231352232937	0.0309057739565799	ZAR1L;NOLC1;PLXNB2;GCN1;PATL2
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	3	3/43	0.06976744186046512	43	0.00020119015054404125	0.0309057739565799	TMF1;ARID1A;SAFB
Nuclear Pore Complex Assembly (GO:0051292)	Nuclear Pore Complex Assembly (GO:0051292)	2	2/10	0.2	10	0.00030586608976532464	0.0309057739565799	TPR;NUP153
Regulation Of RNA Export From Nucleus (GO:0046831)	Regulation Of RNA Export From Nucleus (GO:0046831)	2	2/11	0.18181818181818182	11	0.00037320219519280473	0.0309057739565799	TPR;NUP153
Post-Transcriptional Regulation Of Gene Expression (GO:0010608)	Post-Transcriptional Regulation Of Gene Expression (GO:0010608)	3	3/57	0.05263157894736842	57	0.0004646939002139001	0.0309057739565799	YTHDC1;NOLC1;GCN1
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	4	4/137	0.029197080291970802	137	0.0004756360924467184	0.0309057739565799	ZAR1L;UBR4;EP300;PATL2
Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823)	Negative Regulation Of Nucleocytoplasmic Transport (GO:0046823)	2	2/14	0.14285714285714285	14	0.0006143435877808394	0.0309057739565799	TPR;NUP153
Nuclear Pore Organization (GO:0006999)	Nuclear Pore Organization (GO:0006999)	2	2/14	0.14285714285714285	14	0.0006143435877808394	0.0309057739565799	TPR;NUP153
RNA Export From Nucleus (GO:0006405)	RNA Export From Nucleus (GO:0006405)	3	3/65	0.046153846153846156	65	0.000683420062921915	0.0309057739565799	YTHDC1;TPR;NUP153
Androgen Receptor Signaling Pathway (GO:0030521)	Androgen Receptor Signaling Pathway (GO:0030521)	2	2/17	0.11764705882352941	17	0.0009134779480079396	0.0337986840762937	TMF1;ARID1A
Intracellular Estrogen Receptor Signaling Pathway (GO:0030520)	Intracellular Estrogen Receptor Signaling Pathway (GO:0030520)	2	2/17	0.11764705882352941	17	0.0009134779480079396	0.0337986840762937	ARID1A;SAFB
