term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Nuclear Inclusion Body (GO:0042405)	Nuclear Inclusion Body (GO:0042405)	2	2/10	0.2	10	0.00030586608976532464	0.0189636975654501	TPR;NUP153
Cortical Actin Cytoskeleton (GO:0030864)	Cortical Actin Cytoskeleton (GO:0030864)	2	2/44	0.045454545454545456	44	0.0060701685595865	0.1881752253471829	AKAP13;SHROOM2
Cortical Cytoskeleton (GO:0030863)	Cortical Cytoskeleton (GO:0030863)	2	2/63	0.031746031746031744	63	0.0121366760165409	0.2104322314133967	AKAP13;SHROOM2
bBAF Complex (GO:0140092)	bBAF Complex (GO:0140092)	1	1/9	0.1111111111111111	9	0.0236032527677602	0.2104322314133967	ARID1A
npBAF Complex (GO:0071564)	npBAF Complex (GO:0071564)	1	1/12	0.08333333333333333	12	0.0313488904458292	0.2104322314133967	ARID1A
Brahma Complex (GO:0035060)	Brahma Complex (GO:0035060)	1	1/13	0.07692307692307693	13	0.0339173488988434	0.2104322314133967	ARID1A
ISWI-type Complex (GO:0031010)	ISWI-type Complex (GO:0031010)	1	1/13	0.07692307692307693	13	0.0339173488988434	0.2104322314133967	CECR2
Cytoplasmic Side Of Endoplasmic Reticulum Membrane (GO:0098554)	Cytoplasmic Side Of Endoplasmic Reticulum Membrane (GO:0098554)	1	1/13	0.07692307692307693	13	0.0339173488988434	0.2104322314133967	THADA
nBAF Complex (GO:0071565)	nBAF Complex (GO:0071565)	1	1/14	0.07142857142857142	14	0.0364791253950767	0.2104322314133967	ARID1A
Nucleus (GO:0005634)	Nucleus (GO:0005634)	18	18/4487	0.004011589034989971	4487	0.0365342540840041	0.2104322314133967	YTHDC1;CAD;UBE4A;KIF23;NUP153;SAFB;ARID1A;EZHIP;GCNA;WDR76;PATL2;CECR2;TPR;EP300;KPNA7;TRIP12;PPIG;PABPC1L
Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	7	7/1195	0.005857740585774059	1195	0.0373347507346349	0.2104322314133967	MYO10;ZAR1L;SHROOM2;NOLC1;KIF23;NUP153;GCN1
Preribosome, Large Subunit Precursor (GO:0030687)	Preribosome, Large Subunit Precursor (GO:0030687)	1	1/18	0.05555555555555555	18	0.0466597514614696	0.228165819612323	LAS1L
Anaphase-Promoting Complex (GO:0005680)	Anaphase-Promoting Complex (GO:0005680)	1	1/20	0.05	20	0.051710413228189	0.228165819612323	CDC20B
Cytoplasmic Dynein Complex (GO:0005868)	Cytoplasmic Dynein Complex (GO:0005868)	1	1/21	0.047619047619047616	21	0.0542258902012346	0.228165819612323	TPR
Mitotic Spindle (GO:0072686)	Mitotic Spindle (GO:0072686)	2	2/143	0.013986013986013986	143	0.0552014079707233	0.228165819612323	TPR;KIF23
