term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Nuclear Receptor Binding (GO:0016922)	Nuclear Receptor Binding (GO:0016922)	4	4/115	0.034782608695652174	115	0.00024441296484128863	0.0215083409060334	TMF1;EP300;TRIP12;ARID1A
Ubiquitin-Protein Transferase Activator Activity (GO:0097027)	Ubiquitin-Protein Transferase Activator Activity (GO:0097027)	2	2/16	0.125	16	0.0008073785986279099	0.035524658339628	CDC20B;GCN1
Nuclear Localization Sequence Binding (GO:0008139)	Nuclear Localization Sequence Binding (GO:0008139)	2	2/24	0.08333333333333333	24	0.0018319495647649	0.0437333192814263	KPNA7;NUP153
Nuclear Androgen Receptor Binding (GO:0050681)	Nuclear Androgen Receptor Binding (GO:0050681)	2	2/25	0.08	25	0.0019878781491557	0.0437333192814263	TMF1;EP300
Signal Sequence Binding (GO:0005048)	Signal Sequence Binding (GO:0005048)	2	2/41	0.04878048780487805	41	0.0052884017396872	0.0930758706184953	KPNA7;NUP153
mRNA Binding (GO:0003729)	mRNA Binding (GO:0003729)	4	4/282	0.014184397163120567	282	0.0065899651863307	0.0966528227328503	ZAR1L;YTHDC1;TPR;PABPC1L
RNA Binding (GO:0003723)	RNA Binding (GO:0003723)	9	9/1411	0.0063784549964564135	1411	0.0111537765082179	0.1402189046747395	LAS1L;YTHDC1;TPR;NOLC1;RSRC2;PPIG;SAFB;GCN1;PATL2
Ubiquitin Ligase Activator Activity (GO:1990757)	Ubiquitin Ligase Activator Activity (GO:1990757)	1	1/6	0.16666666666666666	6	0.0157968622983064	0.1459165015803068	CDC20B
Peptide N-acetyltransferase Activity (GO:0034212)	Peptide N-acetyltransferase Activity (GO:0034212)	1	1/8	0.125	8	0.0210078957630911	0.1459165015803068	EP300
Carbon-Nitrogen Ligase Activity, With Glutamine As amido-N-donor (GO:0016884)	Carbon-Nitrogen Ligase Activity, With Glutamine As amido-N-donor (GO:0016884)	1	1/8	0.125	8	0.0210078957630911	0.1459165015803068	CAD
STAT Family Protein Binding (GO:0097677)	STAT Family Protein Binding (GO:0097677)	1	1/9	0.1111111111111111	9	0.0236032527677602	0.1459165015803068	EP300
mRNA 3'-UTR Binding (GO:0003730)	mRNA 3'-UTR Binding (GO:0003730)	2	2/93	0.021505376344086023	93	0.0252795878205352	0.1459165015803068	ZAR1L;PABPC1L
N6-methyladenosine-containing RNA Binding (GO:1990247)	N6-methyladenosine-containing RNA Binding (GO:1990247)	1	1/10	0.1	10	0.0261918594705427	0.1459165015803068	YTHDC1
Semaphorin Receptor Activity (GO:0017154)	Semaphorin Receptor Activity (GO:0017154)	1	1/10	0.1	10	0.0261918594705427	0.1459165015803068	PLXNB2
Ligand-Gated Sodium Channel Activity (GO:0015280)	Ligand-Gated Sodium Channel Activity (GO:0015280)	1	1/11	0.09090909090909091	11	0.0287737329936235	0.1459165015803068	SHROOM2
Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides (GO:0016812)	Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides (GO:0016812)	1	1/12	0.08333333333333333	12	0.0313488904458292	0.1459165015803068	CAD
Potassium:Proton Antiporter Activity (GO:0015386)	Potassium:Proton Antiporter Activity (GO:0015386)	1	1/12	0.08333333333333333	12	0.0313488904458292	0.1459165015803068	SLC9A6
Phosphatidylinositol Phosphate Binding (GO:1901981)	Phosphatidylinositol Phosphate Binding (GO:1901981)	2	2/109	0.01834862385321101	109	0.0338638529374812	0.1459165015803068	OSBPL8;MYO10
Histone H3 Acetyltransferase Activity (GO:0010484)	Histone H3 Acetyltransferase Activity (GO:0010484)	1	1/13	0.07692307692307693	13	0.0339173488988434	0.1459165015803068	EP300
Ubiquitin-Ubiquitin Ligase Activity (GO:0034450)	Ubiquitin-Ubiquitin Ligase Activity (GO:0034450)	1	1/13	0.07692307692307693	13	0.0339173488988434	0.1459165015803068	UBE4A
SUMO Binding (GO:0032183)	SUMO Binding (GO:0032183)	1	1/14	0.07142857142857142	14	0.0364791253950767	0.1459165015803068	GCNA
Sodium:Proton Antiporter Activity (GO:0015385)	Sodium:Proton Antiporter Activity (GO:0015385)	1	1/14	0.07142857142857142	14	0.0364791253950767	0.1459165015803068	SLC9A6
Solute:Potassium Antiporter Activity (GO:0022821)	Solute:Potassium Antiporter Activity (GO:0022821)	1	1/17	0.058823529411764705	17	0.0441245330608975	0.1602105984516011	SLC9A6
Ubiquitin Protein Ligase Activity (GO:0061630)	Ubiquitin Protein Ligase Activity (GO:0061630)	3	3/311	0.00964630225080386	311	0.049346887837007	0.1602105984516011	UBR4;UBE4A;TRIP12
Histone H4 Acetyltransferase Activity (GO:0010485)	Histone H4 Acetyltransferase Activity (GO:0010485)	1	1/20	0.05	20	0.051710413228189	0.1602105984516011	EP300
Tubulin Binding (GO:0015631)	Tubulin Binding (GO:0015631)	3	3/322	0.009316770186335404	322	0.0537026872247551	0.1602105984516011	RABGAP1;TPR;KIF23
Metal Cation:Proton Antiporter Activity (GO:0051139)	Metal Cation:Proton Antiporter Activity (GO:0051139)	1	1/21	0.047619047619047616	21	0.0542258902012346	0.1602105984516011	SLC9A6
poly(U) RNA Binding (GO:0008266)	poly(U) RNA Binding (GO:0008266)	1	1/22	0.045454545454545456	22	0.0567348202331589	0.1602105984516011	PABPC1L
N-acetyltransferase Activity (GO:0008080)	N-acetyltransferase Activity (GO:0008080)	1	1/23	0.043478260869565216	23	0.0592372200228126	0.1602105984516011	EP300
Cyclosporin A Binding (GO:0016018)	Cyclosporin A Binding (GO:0016018)	1	1/23	0.043478260869565216	23	0.0592372200228126	0.1602105984516011	PPIG
Mitogen-Activated Protein Kinase Binding (GO:0051019)	Mitogen-Activated Protein Kinase Binding (GO:0051019)	1	1/23	0.043478260869565216	23	0.0592372200228126	0.1602105984516011	TPR
Phosphatidylinositol-4-Phosphate Binding (GO:0070273)	Phosphatidylinositol-4-Phosphate Binding (GO:0070273)	1	1/25	0.04	25	0.0642224954747202	0.1602105984516011	OSBPL8
poly(A) Binding (GO:0008143)	poly(A) Binding (GO:0008143)	1	1/25	0.04	25	0.0642224954747202	0.1602105984516011	PABPC1L
Poly-Pyrimidine Tract Binding (GO:0008187)	Poly-Pyrimidine Tract Binding (GO:0008187)	1	1/25	0.04	25	0.0642224954747202	0.1602105984516011	PABPC1L
NF-kappaB Binding (GO:0051059)	NF-kappaB Binding (GO:0051059)	1	1/26	0.038461538461538464	26	0.0667054043220935	0.1602105984516011	EP300
Histone Acetyltransferase Activity (GO:0004402)	Histone Acetyltransferase Activity (GO:0004402)	1	1/27	0.037037037037037035	27	0.0691818493313732	0.1602105984516011	EP300
Nuclear Thyroid Hormone Receptor Binding (GO:0046966)	Nuclear Thyroid Hormone Receptor Binding (GO:0046966)	1	1/27	0.037037037037037035	27	0.0691818493313732	0.1602105984516011	TRIP12
Acetyltransferase Activity (GO:0016407)	Acetyltransferase Activity (GO:0016407)	1	1/27	0.037037037037037035	27	0.0691818493313732	0.1602105984516011	EP300
Poly-Purine Tract Binding (GO:0070717)	Poly-Purine Tract Binding (GO:0070717)	1	1/31	0.03225806451612903	31	0.0790233202221304	0.1731857137351819	PABPC1L
Transcription Coactivator Binding (GO:0001223)	Transcription Coactivator Binding (GO:0001223)	1	1/34	0.029411764705882353	34	0.0863373572956909	0.1731857137351819	EP300
Sodium Ion Transmembrane Transporter Activity (GO:0015081)	Sodium Ion Transmembrane Transporter Activity (GO:0015081)	1	1/34	0.029411764705882353	34	0.0863373572956909	0.1731857137351819	SLC9A6
Protein Heterodimerization Activity (GO:0046982)	Protein Heterodimerization Activity (GO:0046982)	2	2/190	0.010526315789473684	190	0.0903354437335771	0.1731857137351819	QTRT2;NOLC1
Amino Acid Binding (GO:0016597)	Amino Acid Binding (GO:0016597)	1	1/36	0.027777777777777776	36	0.0911816899061871	0.1731857137351819	CAD
Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)	Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)	1	1/36	0.027777777777777776	36	0.0911816899061871	0.1731857137351819	MYO10
N-acyltransferase Activity (GO:0016410)	N-acyltransferase Activity (GO:0016410)	1	1/37	0.02702702702702703	37	0.093594397093596	0.1731857137351819	EP300
Sodium Channel Activity (GO:0005272)	Sodium Channel Activity (GO:0005272)	1	1/37	0.02702702702702703	37	0.093594397093596	0.1731857137351819	SHROOM2
Small GTPase Binding (GO:0031267)	Small GTPase Binding (GO:0031267)	2	2/199	0.010050251256281407	199	0.0976668508298126	0.1731857137351819	AKAP13;RABGAP1
Catalytic Activity, Acting On A tRNA (GO:0140101)	Catalytic Activity, Acting On A tRNA (GO:0140101)	1	1/39	0.02564102564102564	39	0.0984009737131715	0.1731857137351819	QTRT2
