term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
NUCLEOCYTOPLASMIC TRANSPORT	NUCLEOCYTOPLASMIC TRANSPORT	3	3/106	0.02830188679245283	106	0.0027964412342004	0.0723896738354111	TPR;KPNA7;NUP153
ATP-DEPENDENT CHROMATIN REMODELING	ATP-DEPENDENT CHROMATIN REMODELING	3	3/110	0.02727272727272727	110	0.0031052031833678	0.0723896738354111	CECR2;H2AC4;ARID1A
THYROID CANCER	THYROID CANCER	2	2/36	0.05555555555555555	36	0.0040975287076647	0.0723896738354111	TPR;CCDC6
VIRAL LIFE CYCLE - HIV-1	VIRAL LIFE CYCLE - HIV-1	2	2/70	0.02857142857142857	70	0.0148320510028186	0.1965246757873474	EP300;NUP153
GLYCOSAMINOGLYCAN DEGRADATION	GLYCOSAMINOGLYCAN DEGRADATION	1	1/18	0.05555555555555555	18	0.0466597514614696	0.4127918555457592	ANKRD44
LIPOIC ACID METABOLISM	LIPOIC ACID METABOLISM	1	1/19	0.05263157894736842	19	0.049188372572355	0.4127918555457592	DHTKD1
UBIQUITIN MEDIATED PROTEOLYSIS	UBIQUITIN MEDIATED PROTEOLYSIS	2	2/142	0.014084507042253521	142	0.0545196790343455	0.4127918555457592	UBE4A;TRIP12
MICRORNAS IN CANCER	MICRORNAS IN CANCER	2	2/160	0.0125	160	0.067239336171245	0.4352525925345081	EP300;KIF23
INFLUENZA A	INFLUENZA A	2	2/171	0.011695906432748537	171	0.0754512516352717	0.4352525925345081	EP300;KPNA7
VIRAL CARCINOGENESIS	VIRAL CARCINOGENESIS	2	2/185	0.010810810810810811	185	0.0863377310969355	0.4352525925345081	UBR4;EP300
MOTOR PROTEINS	MOTOR PROTEINS	2	2/190	0.010526315789473684	190	0.0903354437335771	0.4352525925345081	MYO10;KIF23
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	1	1/42	0.023809523809523808	42	0.1055639844126968	0.4359714058988832	DHTKD1
NOTCH SIGNALING PATHWAY	NOTCH SIGNALING PATHWAY	1	1/62	0.016129032258064516	62	0.151910725680046	0.4359714058988832	EP300
LYSINE DEGRADATION	LYSINE DEGRADATION	1	1/63	0.015873015873015872	63	0.1541651476447922	0.4359714058988832	DHTKD1
LONG-TERM POTENTIATION	LONG-TERM POTENTIATION	1	1/65	0.015384615384615385	65	0.1586563666396397	0.4359714058988832	EP300
RENAL CELL CARCINOMA	RENAL CELL CARCINOMA	1	1/66	0.015151515151515152	66	0.1608931937032813	0.4359714058988832	EP300
PATHWAYS IN CANCER	PATHWAYS IN CANCER	3	3/525	0.005714285714285714	525	0.1622060264725972	0.4359714058988832	TPR;CCDC6;EP300
RNA DEGRADATION	RNA DEGRADATION	1	1/78	0.01282051282051282	78	0.1872842321538881	0.4359714058988832	PABPC1L
POLYCOMB REPRESSIVE COMPLEX	POLYCOMB REPRESSIVE COMPLEX	1	1/82	0.012195121951219513	82	0.1958989309990987	0.4359714058988832	EP300
HUMAN PAPILLOMAVIRUS INFECTION	HUMAN PAPILLOMAVIRUS INFECTION	2	2/328	0.006097560975609756	328	0.2157911040800567	0.4359714058988832	UBR4;EP300
ADHERENS JUNCTION	ADHERENS JUNCTION	1	1/92	0.010869565217391304	92	0.2170456325124618	0.4359714058988832	EP300
MELANOGENESIS	MELANOGENESIS	1	1/96	0.010416666666666666	96	0.2253506770761879	0.4359714058988832	EP300
FC GAMMA R-MEDIATED PHAGOCYTOSIS	FC GAMMA R-MEDIATED PHAGOCYTOSIS	1	1/98	0.01020408163265306	98	0.2294707254570178	0.4359714058988832	MYO10
MRNA SURVEILLANCE PATHWAY	MRNA SURVEILLANCE PATHWAY	1	1/102	0.00980392156862745	102	0.2376464274738032	0.4359714058988832	PABPC1L
PROSTATE CANCER	PROSTATE CANCER	1	1/103	0.009708737864077669	103	0.2396770174824492	0.4359714058988832	EP300
SYSTEMIC LUPUS ERYTHEMATOSUS	SYSTEMIC LUPUS ERYTHEMATOSUS	1	1/104	0.009615384615384616	104	0.2417023006644461	0.4359714058988832	H2AC4
GLUCAGON SIGNALING PATHWAY	GLUCAGON SIGNALING PATHWAY	1	1/104	0.009615384615384616	104	0.2417023006644461	0.4359714058988832	EP300
AMYOTROPHIC LATERAL SCLEROSIS	AMYOTROPHIC LATERAL SCLEROSIS	2	2/362	0.0055248618784530384	362	0.2490949191477816	0.4359714058988832	TPR;NUP153
TGF-BETA SIGNALING PATHWAY	TGF-BETA SIGNALING PATHWAY	1	1/109	0.009174311926605505	109	0.2517495885301923	0.4359714058988832	EP300
HIF-1 SIGNALING PATHWAY	HIF-1 SIGNALING PATHWAY	1	1/110	0.00909090909090909	110	0.2537433150138595	0.4359714058988832	EP300
PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION	PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION	1	1/112	0.008928571428571428	112	0.2577151442635559	0.4359714058988832	AKAP13
GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION	GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION	1	1/118	0.00847457627118644	118	0.2695066005663393	0.4359714058988832	EP300
THYROID HORMONE SIGNALING PATHWAY	THYROID HORMONE SIGNALING PATHWAY	1	1/119	0.008403361344537815	119	0.2714538942389273	0.4359714058988832	EP300
FOXO SIGNALING PATHWAY	FOXO SIGNALING PATHWAY	1	1/130	0.007692307692307693	130	0.2925408269831629	0.4468776339064559	EP300
LYSOSOME	LYSOSOME	1	1/132	0.007575757575757576	132	0.2963099475595603	0.4468776339064559	ANKRD44
ALCOHOLISM	ALCOHOLISM	1	1/153	0.006535947712418301	153	0.3347152072954452	0.4468776339064559	H2AC4
CELL CYCLE	CELL CYCLE	1	1/157	0.006369426751592357	157	0.3417936961730519	0.4468776339064559	EP300
NECROPTOSIS	NECROPTOSIS	1	1/158	0.006329113924050633	158	0.3435517406268233	0.4468776339064559	H2AC4
NEUTROPHIL EXTRACELLULAR TRAP FORMATION	NEUTROPHIL EXTRACELLULAR TRAP FORMATION	1	1/159	0.006289308176100629	159	0.3453051777882826	0.4468776339064559	H2AC4
HEPATITIS B	HEPATITIS B	1	1/161	0.006211180124223602	161	0.3487982774816289	0.4468776339064559	EP300
HEPATOCELLULAR CARCINOMA	HEPATOCELLULAR CARCINOMA	1	1/166	0.006024096385542169	166	0.3574512240348516	0.4468776339064559	ARID1A
JAK-STAT SIGNALING PATHWAY	JAK-STAT SIGNALING PATHWAY	1	1/167	0.005988023952095809	167	0.3591682265009464	0.4468776339064559	EP300
WNT SIGNALING PATHWAY	WNT SIGNALING PATHWAY	1	1/170	0.0058823529411764705	170	0.3642922694143156	0.4468776339064559	EP300
AXON GUIDANCE	AXON GUIDANCE	1	1/178	0.0056179775280898875	178	0.3777606675707665	0.4468776339064559	PLXNB2
TUBERCULOSIS	TUBERCULOSIS	1	1/179	0.00558659217877095	179	0.3794244061469908	0.4468776339064559	EP300
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	1	1/195	0.005128205128205128	195	0.4054581827514644	0.452949921895385	EP300
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	1	1/195	0.005128205128205128	195	0.4054581827514644	0.452949921895385	KPNA7
PATHOGENIC ESCHERICHIA COLI INFECTION	PATHOGENIC ESCHERICHIA COLI INFECTION	1	1/198	0.005050505050505051	198	0.4102187971882732	0.452949921895385	MYO10
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	1	1/219	0.0045662100456621	219	0.4425117319916038	0.4660497834095455	EP300
CAMP SIGNALING PATHWAY	CAMP SIGNALING PATHWAY	1	1/222	0.0045045045045045045	222	0.4469810523130759	0.4660497834095455	EP300
HUMAN CYTOMEGALOVIRUS INFECTION	HUMAN CYTOMEGALOVIRUS INFECTION	1	1/223	0.004484304932735426	223	0.44846299912994	0.4660497834095455	AKAP13
THERMOGENESIS	THERMOGENESIS	1	1/229	0.004366812227074236	229	0.4572732041282797	0.4660669195922851	ARID1A
HUNTINGTON DISEASE	HUNTINGTON DISEASE	1	1/303	0.0033003300330033004	303	0.5552106949288379	0.5552106949288379	EP300
