protein_id	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6	B7
A0A0M3U1B0	341079.55937654903	330855.6280100584	245130.0478524118	400806.3302205756	322515.2831863701	0.0	0.0	0.0	204624.31999919753	0.0	318088.54135483835	0.0
A0A1D9BZF0	348073.23256581964	275285.2241043198	259120.80459105587	291875.2030220101	318158.65999545896	0.0	0.0	0.0	0.0	0.0	373234.475721337	0.0
A0A7N9VSG0	80694.45343025186	80199.8534066101	70492.80005461954	99090.68797451883	87651.52071407854	189060.92114153053	135085.92358414215	169848.28134823468	127668.1653189777	168681.9593437153	110687.25550159802	188714.37818172167
A1A5B6	306284.8301887851	266706.907964506	300892.73178947775	261462.1009646157	244030.8659363296	0.0	0.0	166380.02978053177	0.0	0.0	224275.33337575407	0.0
A1L3P4	1174683.8984588603	1269934.3314575057	1206591.4695667247	943780.157137313	1306405.0606275625	0.0	0.0	0.0	0.0	0.0	1887897.182752043	0.0
A2A432-2	5503015.435362957	6465986.71996528	5631836.17496885	6056459.685065301	4806569.718021126	6393993.080287492	5788139.445035878	7492346.724714229	6739785.262298389	7015257.65730458	7216492.938576272	5636934.9183996795
A2A5N3	10223652.825877154	10395188.379879186	13682644.614716468	7689058.041622854	8685890.637932522	31250763.917006116	28547868.93737486	30967240.986137204	24975689.789513405	28850082.30587205	9582223.361666953	25553591.802401453
A2A8L5	142233.65236362492	161236.80153729426	170260.30655405746	172946.83544106025	175852.4483884453	99198.48679071138	133047.88216314287	110622.89379163017	175323.81163800528	129316.20280970394	168849.11387057655	149093.56465174604
A2A8Z1	178318.00000000012	164332.0	153506.99999999985	193496.99999999994	184903.99999999988	112003.00000000006	110262.99999999997	107668.99999999987	120638.0000000001	96500.90000000002	125017.00000000007	83839.00000000006
A2A995	9418.150000000001	5616.650000000001	9629.149999999998	0.0	7881.809999999998	0.0	22611.90000000001	18579.300000000003	22543.89999999999	28567.89999999999	11745.599999999997	5931.480000000002
A2A9R3	13420078.80094771	14204399.377923513	12883309.022753224	14811523.563363412	15260477.717799218	10725165.732905826	11485818.960574292	17751881.125076514	12028403.900980229	9977256.904563857	9537905.72877884	12501242.054333452
A2ADA5	220250.99999999983	145492.99999999985	217103.0	298652.9999999998	0.0	214803.00000000012	265317.0000000003	0.0	220368.99999999997	193094.99999999983	106961.00000000013	162292.99999999997
A2ADY9	949577.1607810209	979170.3778995668	936500.3156977885	1002999.6972509505	594145.0069983789	1438331.4665048164	1615020.8136516341	1293981.0874739632	1240111.3836505476	1605188.6946033256	1033649.1809895115	1468942.614498498
A2AG50	1297932.606848072	1509449.3808980752	1193781.4887192524	1215237.9940510127	1183256.014354193	0.0	0.0	512360.5799729695	0.0	0.0	1218099.235156431	0.0
A2AGT5-3	1129413.5596416912	1022458.2797115616	1129023.8980899027	960964.6821431796	911188.202124643	1482550.9335040036	1325182.92845441	1666843.0805776278	1380568.1743646981	1557410.347544488	776193.4622838896	1025371.1815599018
A2AI08	17162.699999999993	17590.800000000007	18782.499999999996	16424.300000000007	13769.3	27335.10000000001	35073.70000000001	44171.60000000002	43077.700000000004	35648.89999999998	24900.299999999992	47212.69999999999
A2AJI0-2	18583.300000000003	12460.099999999997	14233.300000000001	11783.1	21125.799999999996	0.0	0.0	0.0	0.0	0.0	24532.39999999999	0.0
A2AKG8	418585.3669100899	497440.87982936174	362496.3455528645	471226.06603649835	381779.7204342695	413649.1384884188	464857.0370691531	551676.3854082589	489694.4575436464	573053.5487495168	458367.25033143023	749743.7036464912
A2AKX3-2	20020.499999999996	15368.299999999997	16218.200000000006	12844.899999999994	13124.2	0.0	0.0	0.0	0.0	0.0	10877.400000000001	0.0
A2ALU4	414897.61316777143	440026.33325947286	443888.3540896508	551429.0219913615	302505.68277701334	267396.1508079399	166217.19959672302	200997.6587151542	187931.83785697306	179121.71437809218	510221.48495825345	110642.73840159498
A2AMZ4	59000.89999999997	55707.50000000001	70369.59999999995	49425.199999999975	56102.099999999984	29923.400000000012	26371.700000000015	17327.499999999993	38820.89999999999	29594.29999999999	43896.10000000002	54889.90000000001
A2AN08-3	7644407.834237845	7994042.719260497	7653926.700435152	8166308.728536786	7287267.862679537	10021579.604584062	9223000.687999899	9996657.111739391	9358044.122127848	9677231.154708412	7944086.713006858	9466740.38068369
A2AQ25-3	159581.99999999988	105940.00000000012	113019.99999999999	176870.0000000001	142454.0000000001	389281.00000000006	252959.0000000002	317796.00000000006	424451.99999999965	368301.0000000002	56842.29999999998	406045.0000000003
A2AR02	391752.9306387208	382777.11411951814	296803.6073664915	298083.527893229	292025.8412312549	0.0	0.0	0.0	0.0	0.0	275858.57875078445	0.0
A2ARM1	49848.71925698528	0.0	0.0	0.0	0.0	2516282.113083818	2498685.526009194	2647751.854098024	3257033.877484491	2772011.4388357606	80834.5793167968	2211688.391914937
A2ASS6	361667.95435066917	391027.82944078045	369556.8230555447	556278.9448339846	543345.4410993176	208014.21111564751	202858.01119759027	182403.36174240112	189986.90567070257	199384.8522187643	436728.46527459956	0.0
A2AT37	1035069.7866412229	1008291.5646013089	1011607.0393817403	1116293.4545800788	1077646.9652679004	469378.53710898815	538836.6427777606	593649.2894277377	616473.6926573097	463510.37373600755	1019190.1029590014	194256.06086094043
A2ATU0	515136.15269887884	340755.257241	289252.3004579081	406368.1812227531	343498.35630493815	0.0	0.0	0.0	0.0	0.0	479692.8820745192	0.0
A2AWA9	3459822.115613918	2843964.8630709653	2657014.076149556	3180054.5280526048	2561987.660436338	783206.3334932532	932419.7833750815	861974.7775549958	1111075.5707213616	947145.5441297289	3125585.6242967094	904858.9031054935
