mrna_id	gene_symbol
B2RQC6	Cad
E9Q2Z1-2	Cecr2
A2ATU0	Dhtkd1
A0A1D9BZF0	Gcna
A2AR02	Ppig
A2AQ25-3	Skt
A1L3P4	Slc9a6
A8C756	Thada
E9Q5K9-2	Ythdc1
F8VQB6	Myo10
A2RTL5	Rsrc2
B8ZXI1	Qtrt2
C3VD30	Zar1l
C0HKE1	H2ac4
B2RXS4	Plxnb2
A2ARM1	Patl2
E9Q5G7	Oog1
L7N1X6	Fbxw15
B2RWS6	Ep300
F6ZDS4	Tpr
D3YXK2	Safb
B9EJ86	Osbpl8
C0LLJ0-2	Kpna7
E9Q6J5-2	Bod1l
E9PVA8	Gcn1
C0HKD8	Mfap1a
B1AZP2-3	Dlgap4
D3YZP9	Ccdc6
A2ALU4	Shroom2
D3Z3I0	Cdc20b
E9Q735	Ube4a
A2AWA9	Rabgap1
A2A5N3	Pabpc1l
B8JKV0	Amn1
E9Q3G8	Nup153
E9PXV9	Obox2
G5E870	Trip12
E9Q5G3	Kif23
B1B0V2	Ezhip
A2BE28-2	Las1l
E9Q5C9	Nolc1
C0HKG5	Rnaset2a
E9Q394-2	Akap13
A3KMP2	Ttc38
A6PWY4-2	Wdr76
A2AN08-3	Ubr4
A2BH40	Arid1a
G3X8U3	QNG1
F6W8I0	Yjefn3
A2AI08	Tprn
B9EKI3	Tmf1
B2RXR6	Ankrd44
A2AG50	Map7d2
